"Database name","Alternative name","Integbio Database Catalog ID",DOI,Creator,"Database classification","Database classification (Free style)",Organism,"Organism (Free style)","Database description","Features and manner of utilization of database","Background and funding","Background and funding (Free style)",Reference(s),"Database maintenance site","URL of the original website","Operation start date","Last update date","URL of the portal site","Whole data download","Referenced database","Entry list","Query search","Web services","URL of Web services","Need for user registration"
ConfC,"Database of conformation changes in protein structures","nbdc00400
",10.18908/lsdba.nbdc00400-000,"""Tamotsu Noguchi"",""Meiji Pharmaceutical University"",200901022790957522,read0205922,,201550000299995880,0
","""Structure Databases - Protein structure""
""Structure Databases - Small molecules""
""Structure Databases - Nucleic acid structure""
",,,,"This database extracts this dynamic information from the protein structure being obtained now and is consist of three kinds of sub-database, that is, 1) evolutional structure change, 2) conformation changes by some binding and 3) structural flexibility, which were individually classified respectively.","This database will be used to 1) study protein structure stability, functional expression based on sequence changes, 2) study mechanism of gene disease based on protein structure, and 3) develop prediction methods for the protein function, disorder region and domain linker, and the method of drug design by considering the protein the movement.",,"This database project was supported by the Grant-in-Aid for Publication Scientific Research Results from Japan Society for the Promotion of Science(JSPS) in 2004",,"National Institute of Industrial Science and Technology (AIST), Tokyo Waterfront
*The original website was terminated.","http://mbs.cbrc.jp/ConfC/
",2005-05-01,,,,,,,,,
"CREATE portal",,"nbdc00403
",10.18908/lsdba.nbdc00403-000,"""Hisashi Koga"",""Kazusa DNA Research Institute (KDRI)"",200901092683460338,read0132746,,200901100479841929,0
","""Proteomics Resources""
",,"""Mus musculus"",10090
",,"KDRI has cloned ~2000 mouse homologs of human KIAA genes and prepared ~2000 rabbit polyclonal antibodies against respective mouse KIAA (mKIAA) proteins. In the CREATE portal, you can see the results of experiments exploring the expression levels of mRNA and protein for 274 mKIAA genes in the InGaP database. You can also see the results of protein-protein interaction of 50 mKIAA proteins of which interaction interactions were identified by mass spectrometry analysis following immuno-precipitation with anti-mKIAA antibodies.","You can see the results of tissue-specific expression of mKIAA proteins. These data are useful to find out the sensitivity and specificity of the anti-mKIAA antibodies, because parts of anti-mKIAA antibodies prepared in the project can be obtained from the ProteinExpress. In the InCeP database, you can see protein-protein interaction data of mKIAA proteins, useful to predict their functions.",,"CREATE Program (Collaboration of Regional Entities for the Advancement of Techno- logical Excellence)  (2001-2006)","""A comprehensive approach for establishment of the platform to analyze functions of KIAA proteins II: public release of inaugural version of InGaP database containing gene/protein expression profiles for 127 mouse KIAA genes/proteins"",""Koga H, Yuasa S, Nagase T, Shimada K, Nagano M, Imai K, Ohara R, Nakajima D, Murakami M, Kawai M, Miki F, Magae J, Inamoto S, Okazaki N, Ohara O."",""DNA Res. 2004 Aug 31;11(4):293-304."",15500254,200902275729419053
""InCeP: intracellular pathway based on mKIAA protein-protein interactions"",""Murakami M, Shimada K, Kawai M, Koga H."",""DNA Res. 2005;12(5):379-87."",16769695,200902204953292293
",,,,,,,,,,,,
D-HaploDB,"Definitive Haplotype Database","nbdc00036
",10.18908/lsdba.nbdc00036-000,"""Kenshi Hayashi"",""Research Center for Genetic Information, Medical Institute of Bioregulation, Kyushu University"",,,,,1
""Tomoko Tahira"",""Research Center for Genetic Information, Medical Institute of Bioregulation, Kyushu University"",,,,,0
","""Human Genes and Diseases - General polymorphism databases""
",,"""Homo sapiens"",9606
",,"This database presents true haplotypes and LD structures of Japanese genome, determined using DNA samples obtained from complete hydatidiform moles.","The genome of complete hydatidiform mole is derived from a single sperm. Therefore, the haplotypes described in DHaploDB are true haplotypes. This is in contrast to the haplotypes of Asians described by the HapMap Project, which are haplotypes deduced from genotypes of diploid materials using computational method that yields haplotypes with error at a certain level.

G-browse function is implemented at the original website (see below), where updated version (D4) is available.","""""""Research Revolution 2002"""" (RR2002) initiative from the Ministry of Education, Culture, Sports, Science and Technology, Japan."",,67
""A Grant-in-Aid for Scientific Research on Priority Areas “Applied Genomics"""" from the Ministry of Education, Culture, Sports, Science and Technology, Japan."",201410076767231384,
",,"""Genome-wide definitive haplotypes determined using a collection of complete hydatidiform moles."",""Kukita Y, Miyatake K, Stokowski R, Hinds D, Higasa K, Wake N, Hirakawa T, Kato H, Matsuda T, Pant K, Cox D, Tahira T, Hayashi K."",""Genome Res. 2005 Nov;15(11):1511-8."",16251461,201302245829785100
""D-HaploDB: a database of definitive haplotypes determined by genotyping complete hydatidiform mole samples."",""Higasa K, Miyatake K, Kukita Y, Tahira T, Hayashi K."",""Nucleic Acids Res. 2007 Jan;35(Database issue):D685-9."",17166862,201302229677297311
""Evaluation of haplotype inference using definitive haplotype data obtained from complete hydatidiform moles, and its significance for the analyses of positively selected regions."",""Higasa K, Kukita Y, Kato K, Wake N, Tahira T, Hayashi K."",""PLoS Genetics, 2009 May;5(5):e1000468."",19424418,201302291339498520
""A definitive haplotype map as determined by genotyping duplicated haploid genomes finds a predominant haplotype preference at copy-number variation events."",""Kukita Y, Yahara K, Tahira T, Higasa K, Sonoda M, Yamamoto K, Kato K, Wake N, Hayashi K."",""Am. J. Hum. Genet. 2010 Jun;86(6):918-28."",20537301,201002292632978646
","Division of Genome Analysis,Research Center for Genetic Information,　Medical Institute of Bioregulation, Kyushu University
* The original website was terminated.","http://orca.gen.kyushu-u.ac.jp/
",2005-07-20,2011-06-23,http://www.gen.kyushu-u.ac.jp/~genome/database.html,http://orca.gen.kyushu-u.ac.jp/download.html,,,1,,,
DB-SPIRE,,"nbdc00411
",10.18908/lsdba.nbdc00411-000,"""Tamotsu Noguchi"",""Meiji Pharmaceutical University"",200901022790957522,read0205922,,201550000299995880,0
","""Structure Databases - Protein structure""
",,,,"This database has the positional information in the amino acid motif structure. The information is identified by experiments or sequence analysis (homology search and multiple alignment). We use PROSITE and BLOCKS as amino acid motif databases. PROSITE has motives from experiments, and BLOCKS has motives from both experiments and sequence analysis. We use PDB as the protein structure database and decide the motif position from SEQRES and ATOM sequences. The reason we need SEQRES and ATOM sequences is because those are not matched in some PDB entries.","This database is aimed to make researchers in bioinformatics, biochemistry or structural biology understand quickly protein function structures.
You can use this database together with “Database of conformation changes in protein structures” (ConfC) to get the picture of protein structure-function relationship dynamically and predict function sites.",,,,"National Institute of Industrial Science and Technology (AIST), Tokyo Waterfront
*The original website was terminated.","http://mbs.cbrc.jp/DB-SPIRE
",2005-04-01,,,,"PROSITE, BLOCKS, PDB",,,,,
dbQSNP,"Database of SNPs in human genome with allele frequency information","nbdc00042
",10.18908/lsdba.nbdc00042-000,"""Kenshi Hayashi"",""Research Center for Genetic Information, Medical Institute of Bioregulation, Kyushu University (when creating)"",200901095483023110,read0043291,,200901100543281134,1
""Tomoko Tahira"",""Research Center for Genetic Information, Medical Institute of Bioregulation, Kyushu University (when creating)"",200901050296431120,read0043292,,200901100472372281,0
""Koichiro Higasa"",""Research Center for Genetic Information, Medical Institute of Bioregulation, Kyushu University (when creating)"",200901083988185648,read0106390,,200901100532168360,0
","""Human Genes and Diseases - General polymorphism databases""
",,"""Homo sapiens"",9606
",,"SNP discovery and determination of their allele frequency in various sample groups using pooled DNA-quantitative fluorescent SSCP analysis","Most of SNPs described here were collected around the transcription start sites of many genes, and their allele frequencies were precisely determined by quantitative fluorescent SSCP analysis of pooled DNA constructed using various populations. These data is useful for the determination of genetic background of various quantitative variation of phenotypes of populations.","""""""Research Revolution 2002"""" (RR2002) initiative from the Ministry of Education, Culture, Sports, Science and Technology, Japan."",,67
",,"""dbQSNP: a database of SNPs in human promoter regions with allele frequency information determined by single-strand conformation"",""Tahira T, Baba S, Higasa K, Kukita Y, Suzuki Y, Sugano S, Hayashi K"",""Human Mutation 2005 Aug. 26(2) 69-77"",15977179,201002297369680698
""Precise estimation of allele frequencies of single-nucleotide polymorphisms by a quantitative SSCP analysis of pooled DNA."",""Sasaki T, Tahira T, Suzuki A, Higasa K, Kukita Y, Baba S, Hayashi K."",""Am J Hum Genet. 2001 Jan;68(1):214-8."",11083945,201302128039807034
""Single-stranded conformational polymorphism analysis using automated capillary array electrophoresis apparatuses."",""Baba S, Kukita Y, Higasa K, Tahira T, Hayashi K."",""Biotechniques. 2003 Apr;34(4):746-50."",12703299,200902228111090460
""Software for machine-independent quantitative interpretation of SSCP in capillary array electrophoresis (QUISCA)"",""Higasa K, Kukita Y, Baba S, Hayashi K."",""Biotechniques. 2002 Dec;33(6):1342-8."",12503322,200902117784892251
""Association of polymorphisms in complement component C3 gene with susceptibility to systemic lupus erythematosus."",""Miyagawa H, Yamai M, Sakaguchi D, Kiyohara C, Tsukamoto H, Kimoto Y, Nakamura T, Lee JH, Tsai CY, Chiang BL, Shimoda T, Harada M, Tahira T, Hayashi K, Horiuchi T."",""Rheumatology (Oxford). 2008 Feb;47(2):158-64"",18174230,201102219065884269
""Estimation of SNP allele frequencies by SSCP analysis of pooled DNA"",""Tahira T, Kukita Y, Higasa K, Okazaki Y, Yoshinaga A, Hayashi K"",""Methods in Molecular Biology 578:193-207 (2009)"",19768595,
""Optimization of capillary array electrophoresis single-strand conformation polymorphism analysis for routine molecular diagnostics"",""Jespersgaard C, Larsen LA, Baba S, Kukita Y, Tahira T, Christiansen M, Vuust J, Hayashi K, Andersen PS"",""Electrophoresis 27: 3816-3822 (2006)"",16941449,200902255425395254
""Multicolor post-PCR labeling of DNA fragments with fluorescent dideoxynucleotides."",""Kukita Y, Hayashi K"",""BioTechniques 33: 502-506 (2002)"",12238759,
""Hemi-stranded SSCP analysis of single-nucleotide polymorphisms in short sequence-tagged sites."",""Kukita Y, Manago S, Baba S, Hayashi K"",""BioTechniques 33:1118-1121 (2002)"",12449392,
""SSCP analysis of point mutations by multicolor capillary electrophoresis."",""Hayashi K, Wenz HM, Inazuka M, Tahira T, Sasaki T, Atha DH"",""Methods in Molecular Biology 163: 109-126 (2001)"",11242937,
""Recent enhancements in SSCP."",""Hayashi K"",""Genetic Analysis: Biomolecular Engineering 14: 193-196 (1999)"",10084114,
""SSCP analysis of long DNA fragments in low pH gel"",""Kukita Y, Tahira T, Sommer SS, Hayashi K"",""Human Mutation 10: 400-407 (1997)"",9375857,201002139486511142
""One-tube post-PCR fluorescent labeling of DNA fragments"",""Inazuka M, Tahira T, Hayashi K"",""Genome Research 6: 551-557 (1996)"",8828044,200902189119838174
""PCR-SSCP: A method for detection of mutations"",""Hayashi K"",""Genetic Analsysis: Techniques and Applications 9: 73-79 (1992)"",1476794,201302012182084479
""PCR-SSCP: A simple and sensitive method for detection of mutations in the genomic DNA"",""Hayashi, K"",""PCR Methods and Applications 1: 34-38 (1991)"",1842918,
""Rapid and sensitive detection of point mutations and DNA polymorphisms using the polymerase chain reaction"",""Orita M, Suzuki Y, Sekiya T, Hayashi K"",""Genomics 5: 874-879 (1989)"",2687159,200902069950476844
","Research Center for Genetic Information, Medical Institute of Bioregulation, Kyushu University
*The original website was terminated.","http://qsnp.gen.kyushu-u.ac.jp/
",2002-10-23,2008-09-22,,,,,1,,,
DGBY,"Database for Gene function and expression of Baker's Yeast","nbdc00953
",10.18908/lsdba.nbdc00953-000,"""Akira Ando"",""National Food Research Institute, National Agriculture and Food Research Organization"",,,,,0
","""Microarray Data and other Gene Expression Databases""
",,"""Saccharomyces cerevisiae"",4932
",,"Baker’s yeast Saccharomyces cerevisiae is an essential ingredient in bakery products. Baker’s yeast is exposed to severe environmental stresses during bread making and the production of commercial yeast products. During bread making, yeast in frozen dough is exposed to freeze-thaw stress, and yeast in high-sugared dough is exposed to high osmolarity. In dried yeast preparation, yeast cells are exposed to air-drying stress.

Figure: https://dbarchive.biosciencedbc.jp/images/dbarchive_images/mail_address/about_eg.jpg

We have investigated the stress tolerance of baker’s yeast by utilizing post-genome research. We collected a wealth of data regarding genes that may be involved in stress tolerance by using two post-genomic approaches, that is, genome-wide gene expression analysis using DNA microarrays (transcriptomics), and genome-wide screening of S. cerevisiae deletion mutant collection (so-called phenomics). We uploaded these data on this website which is designated DGBY(Database for Gene expression and function of Baker's yeast).","This database is applicable to retrieve infomation on gene expression of baker's yeast and growth data of the deletion strain set of S. cerevisiae under baking associated stresses.","""This work was supported by a grant from the Program for Promotion of Basic Research Activities for Innovative Biosciences (PROBRAIN)."",201110030737911494,
",,"""Functional genomic analysis of commercial baker's yeast during initial stages of model dough-fermentation."",""Tanaka F, Ando A, Nakamura T, Takagi H, Shima J."",""Food Microbiol. 2006 Dec;23(8):717-28. Epub 2006 Apr 4."",16943074,200902242754081770
""Functional genomics of commercial baker's yeasts that have different abilities for sugar utilization and high-sucrose tolerance under different sugar conditions."",""Tanaka-Tsuno F, Mizukami-Murata S, Murata Y, Nakamura T, Ando A, Takagi H, Shima J."",""Yeast. 2007 Oct;24(10):901-11."",17724779,200902286186846900
""Changes in gene expression of commercial baker's yeast during an air-drying process that simulates dried yeast production."",""Nakamura T, Mizukami-Murata S, Ando A, Murata Y, Takagi H, Shima J."",""J Biosci Bioeng. 2008 Oct;106(4):405-8."",19000619,200902243563683882
""Identification and classification of genes required for tolerance to high-sucrose stress revealed by genome-wide screening of Saccharomyces cerevisiae."",""Ando A, Tanaka F, Murata Y, Takagi H, Shima J."",""FEMS Yeast Res. 2006 Mar;6(2):249-67."",16487347,200902242232742955
""Identification and classification of genes required for tolerance to freeze-thaw stress revealed by genome-wide screening of Saccharomyces cerevisiae deletion strains."",""Ando A, Nakamura T, Murata Y, Takagi H, Shima J."",""FEMS Yeast Res. 2007 Mar;7(2):244-53. Epub 2006 Sep 21."",16989656,200902296147274830
""Possible roles of vacuolar H+-ATPase and mitochondrial function in tolerance to air-drying stress revealed by genome-wide screening of Saccharomyces cerevisiae deletion strains."",""Shima J, Ando A, Takagi H."",""Yeast. 2008 Mar;25(3):179-90."",18224659,200902276052598793
","National Food Research Institute, National Agriculture and Food Research Organization (NARO)","http://www.naro.affrc.go.jp/org/nfri/english/Useful/yeast/index.html
",2006-10-02,2009-07-29,http://www.naro.affrc.go.jp/english/index.html,,"GEO, SGD, PubMed",1,,,,
Dicty_cDB,"Dictyostelium cDNA Database","nbdc00419
",10.18908/lsdba.nbdc00419-000,"""Hideko Urushihara"",""University of Tsukuba"",,,,,1
""Yoshihiro Ugawa"",,,,,,0
""Yuji Shimizu"",,,,,,0
","""Genomics Databases (non-vertebrate) - Unicellular eukaryotes genome databases""
",,,,"Dicty_cDB is a publicly available gene information database comprising the primary information obtained by EST analysis of Dictyostelium discoideum, which is known as a social amoeba, and a variety of additional secondary information. This database represents the results of the Dictyostelium cDNA Project in Japan for Dictyostelium discoideum.","Sequences and BLAST search results of all ESTs and assembled unigenes are displayed for D. discoideum. Clones themselves are distributed by NBRP (http://nenkin.lab.nig.ac.jp/).","""Grant-in-Aid for Scientific Research"",,
""Grant-in-Aid for Publication of Scientific Research Results"",,
""Research for the Future Program of the Japanese Society for Promotion of Science"",,31
",,"""Analyses of cDNAs from growth and slug stages of Dictyostelium discoideum"",""Urushihara H, Morio T, Saito T, Kohara Y, Koriki E, Ochiai H, Maeda M, Williams JG, Takeuchi I, Tanaka Y."",""Nucleic Acids Res. 2004 Mar 9;32(5):1647-53."",15010511,200902233851438803
","Graduate School of Life and Environmental Sciences, University of Tsukuba","
",1996-12,2009-08,,,GENBANK/DDBJ/EBI,1,1,,,
DMPD,"Dynamic Macrophage Pathway CSML Database","nbdc00558
",10.18908/lsdba.nbdc00558-000,"""Masao Nagasaki"",""The Institute of Medical Science, The University of Tokyo"",,,,,0
""Ayumu Saito"",""The Institute of Medical Science, The University of Tokyo"",,,,,0
""Andre Fujita"",""The Institute of Medical Science, The University of Tokyo"",,,,,0
""Kazuko Ueno"",""The Institute of Medical Science, The University of Tokyo"",,,,,0
""Emi Ikeda"",""The Institute of Medical Science, The University of Tokyo"",,,,,0
""Euna Jeong"",""The Institute of Medical Science, The University of Tokyo"",,,,,0
""Satoru Miyano"",""The Institute of Medical Science, The University of Tokyo"",,,,,1
""Nihon BIOBASE KK."",,,,,,0
","""Metabolic and Signaling Pathways ""
",,"""Homo sapiens"",9606
Mammalia,40674
",,"DMPD collects pathway models of transcriptional regulation and signal transduction in CSML format for dymamic simulation based on the curation of descriptions about LPS and PMA stimulation for macrophage from literature.","[Feature]
This is the world's largest pathway simulation model database for regulation of differentiation and activation of macrophage. Information on those pathways are extracted in the CSML format, one of the XML format, from selected literatures described about the macrophage differentiation and activation (a total of 200 articles).
[Utility and Manner of Utilization]
The CSML format allows users to edit the model and perform simulation of the model by using Cell Illustrator which is one of the softwares for system biology. For experts in macrophage-related areas, it may be useful to search for pathway models related to their work, and also customize the models for further use. They can also take out part of a single pathway for further use or edit and integrate multiple pathways for use as a larger pathway model. Each model is also released in images such as the PNG format. So, you can still get the general picture of pathways by using ordinary browsers.","""Achievements of the Ministry of Education, Culture, Sports, Science and Technology - Genome Network Project (GNP)"",,1
",,,"The Institute of Medical Science, The University of Tokyo","http://gnp.hgc.jp/macrophage/
",2009-03,2009-08,http://gnp.hgc.jp/,http://gnp.hgc.jp/macrophage/,PubMed,,1,,,
eSOL,"Solubility database of all E.coli proteins",,10.18908/lsdba.nbdc00440-000,"""Tatsuya Niwa"",""Department of Biomolecular Engineering, School and Graduate School of Bioscience and Biotechnology, Tokyo Institute of Technology"",,,,,0
""Hideaki Sugawara"",""The Research and Development of Biological Databases Project, National Institute of Genetics"",,,,,0
""Takuya Ueda"",""Department of Medical Genome Science, Graduate School of Frontier Sciences, The University of Tokyo"",,,,,0
""Hideki Taguchi"",""Department of Biomolecular Engineering, School and Graduate School of Bioscience and Biotechnology, Tokyo Institute of Technology"",,,,,1
","""Protein sequence databases - Protein properties""
",,"""Escherichia coli"",562
",,"The database of solubilities and synthetic yields of all E.coli proteins translated by using an in vitro reconstituted translation system. For 788 aggregation-prone proteins, the data of chaperone effects on the prevention of aggregate formation were added on May 2012.
Gene segments from plasmids of ASKA library (Kitagawa et al. 2005) , which is the library of all genes of the E. coli strain K-12, were amplified by PCR, and their proteins were synthesized by using an in vitro translation system (PURE system). The solubilities were evaluated by SDS-PAGE and autoradiography before and after centrifugation.
For aggregation-prone proteins (defined as the proteins with less than 30% solubility in the absence of any chaperone), observations of changes in solubility were made by adding the major chaperones of E. coli, Trigger Factor (TF), DnaK/DnaJ/GrpE (KJE) and GroEL/ES (GroE), individually.","Since PURE system is a reconstituted chaperone-free translation system, it is possible to evaluate the solubilities of translated proteins and the chaperone effects accurately. The acquired data will form the basis of protein folding studies and be useful for planning researches and industries using protein expression and improving their efficiencies.","""Grant-in-Aid for Scientific Research on Priority Areas:
- Regulation of Nano-systems in Cells 17049009, 19037007
- Protein Community 19058002"",,
""Grant-in-Aid for Research Activity Start-up:
- 22870010"",,
""Grant-in-Aid for Scientific Research(A):
- 18201040"",,
""Targeted Proteins Research Program by the Mext,
Technology Development Themes:
- Protein Production PPC1
- Information Platform IPC1"",,
",,"""Global analysis of chaperone effects using a reconstituted cell-free translation system."",""Niwa T, Kanamori T, Ueda T, Taguchi H."",""Proc Natl Acad Sci U S A. 2012 Jun 5;109(23):8937-42."",22615364,201202263784155208
""Bimodal protein solubility distribution revealed by an aggregation analysis of the entire ensemble of Escherichia coli proteins."",""Niwa T, Ying BW, Saito K, Jin W, Takada S, Ueda T, Taguchi H."",""Proc Natl Acad Sci U S A. 2009 Mar 17;106(11):4201-6."",19251648,200902244689813257
","The Targeted Proteins Research Program promoted by the MEXT","http://www.tanpaku.org/tp-esol/index.php?lang=en
",2009-06-18,2012-05-02,http://www.tanpaku.org/e_index.php,http://www.tanpaku.org/tp-esol/download.php?lang=en,GenoBase,,1,,,
FANTOM5,"Functional Annotation of the Mammalian Genome","nbdc01389
",10.18908/lsdba.nbdc01389-000.V003,"""Yoshihide Hayashizaki"",""RIKEN Preventive Medicine and Diagnosis Innovation Program / Omics Science Center"",200901051272882144,read0117945,,200901100413883043,0
""Hideya Kawaji"",""RIKEN Preventive Medicine and Diagnosis Innovation Program / RIKEN Advanced Center for Computing and Communication / Center for Life Science Technologies / Omics Science Center / Center for Integrative Medical Sciences"",,,,201550000279179415,0
""Takeya Kasukawa"",""RIKEN Center for Life Science Technologies / Center for Integrative Medical Sciences"",201301049355449068,kasukawa,,200901100594999048,0
",,,"""Homo sapiens"",9606
""Mus musculus"",10090
""Canis lupus familiaris"",9615
""Rattus norvegicus"",10116
""Macaca mulatta"",9544
""Gallus gallus"",9031
",,"FANTOM is an international research consortium established by Dr. Hayashizaki and his colleagues in 2000 to assign functional annotations to the full-length cDNAs that were collected during the Mouse Encyclopedia Project at RIKEN. FANTOM has since developed and expanded over time to encompass the fields of transcriptome analysis. The object of the project is moving steadily up the layers in the system of life, progressing thus from an understanding of the 'elements' - the transcripts - to an understanding of the 'system' - the transcriptional regulatory network, in other words the 'system' of an individual life form. In FANTOM5, we have systematically investigated exactly what are the sets of genes used in virtually all cell types across the human body, and the genomic regions which determine where the genes are read from. We aim to use this information to build transcriptional regulatory models for every primary cell type that makes up a human. The resource provides raw and processed data obtained in the FANTOM5 project.","The FANTOM5 resources provides a comprehensive map of gene activity across the human body, and provides a holistic view of the complex networks that regulate gene expression across the wide variety of cell types that make up a human being. The resource can be a foundamental tool to define normal cells in human bodies. These findings will help in the identification of genes involved in disease and the development of personalized and regenerative medicine.",,,"""A promoter-level mammalian expression atlas."",""FANTOM Consortium and the RIKEN PMI and CLST (DGT), Forrest AR, Kawaji H, Rehli M, Baillie JK, de Hoon MJ, Lassmann T, Itoh M, Summers KM, Suzuki H, Daub CO, Kawai J, Heutink P, Hide W, Freeman TC, Lenhard B, Bajic VB, Taylor MS, Makeev VJ, Sandelin A, Hume DA, Carninci P, Hayashizaki Y."",""Nature. 2014 Mar 27;507(7493):462-70. doi: 10.1038/nature13182."",24670764,201402275043578678
""An atlas of active enhancers across human cell types and tissues."",""Andersson R, Gebhard C, Miguel-Escalada I, Hoof I, Bornholdt J, Boyd M, Chen Y, Zhao X, Schmidl C, Suzuki T, Ntini E, Arner E, Valen E, Li K, Schwarzfischer L, Glatz D, Raithel J, Lilje B, Rapin N, Bagger FO, J?rgensen M, Andersen PR, Bertin N, Rackham O, Burroughs AM, Baillie JK, Ishizu Y, Shimizu Y, Furuhata E, Maeda S, Negishi Y, Mungall CJ, Meehan TF, Lassmann T, Itoh M, Kawaji H, Kondo N, Kawai J, Lennartsson A, Daub CO, Heutink P, Hume DA, Jensen TH, Suzuki H, Hayashizaki Y, M?ller F; FANTOM Consortium, Forrest AR, Carninci P, Rehli M, Sandelin A."",""Nature. 2014 Mar 27;507(7493):455-61. doi: 10.1038/nature12787."",24670763,201402230098400688
""Transcribed enhancers lead waves of coordinated transcription in transitioning mammalian cells."",""Arner E, Daub CO, Vitting-Seerup K, Andersson R, Lilje B, Drabl?s F, Lennartsson A, R?nnerblad M, Hrydziuszko O, Vitezic M, Freeman TC, Alhendi AM, Arner P, Axton R, Baillie JK, Beckhouse A, Bodega B, Briggs J, Brombacher F, Davis M, Detmar M, Ehrlund A, Endoh M, Eslami A, Fagiolini M, Fairbairn L, Faulkner GJ, Ferrai C, Fisher ME, Forrester L, Goldowitz D, Guler R, Ha T, Hara M, Herlyn M, Ikawa T, Kai C, Kawamoto H, Khachigian LM, Klinken SP, Kojima S, Koseki H, Klein S, Mejhert N, Miyaguchi K, Mizuno Y, Morimoto M, Morris KJ, Mummery C, Nakachi Y, Ogishima S, Okada-Hatakeyama M, Okazaki Y, Orlando V, Ovchinnikov D, Passier R, Patrikakis M, Pombo A, Qin XY, Roy S, Sato H, Savvi S, Saxena A, Schwegmann A, Sugiyama D, Swoboda R, Tanaka H, Tomoiu A, Winteringham LN, Wolvetang E, Yanagi-Mizuochi C, Yoneda M, Zabierowski S, Zhang P, Abugessaisa I, Bertin N, Diehl AD, Fukuda S, Furuno M, Harshbarger J, Hasegawa A, Hori F, Ishikawa-Kato S, Ishizu Y, Itoh M, Kawashima T, Kojima M, Kondo N, Lizio M, Meehan TF, Mungall CJ, Murata M, Nishiyori-Sueki H, Sahin S, Nagao-Sato S, Severin J, de Hoon MJ, Kawai J, Kasukawa T, Lassmann T, Suzuki H, Kawaji H, Summers KM, Wells C; FANTOM Consortium, Hume DA, Forrest AR, Sandelin A, Carninci P, Hayashizaki Y."",""Science. 2015 Feb 27;347(6225):1010-4. doi: 10.1126/science.1259418. Epub 2015 Feb 12."",25678556,201502215990188624
""An atlas of human long non-coding RNAs with accurate 5' ends"",""Chung-Chau Hon, Jordan A. Ramilowski, Jayson Harshbarger, Nicolas Bertin, Owen J. L. Rackham, Julian Gough, Elena Denisenko, Sebastian Schmeier, Thomas M. Poulsen, Jessica Severin, Marina Lizio, Hideya Kawaji, Takeya Kasukawa, Masayoshi Itoh, A. Maxwell Burroughs, Shohei Noma, Sarah Djebali, Tanvir Alam, Yulia A. Medvedeva, Alison C. Testa, Leonard Lipovich, Chi-Wai Yip, Imad Abugessaisa, Micka?l Mendez, Akira Hasegawa, Dave Tang, Timo Lassmann, Peter Heutink, Magda Babina, Christine A. Wells, Soichi Kojima, Yukio Nakamura, Harukazu Suzuki, Carsten O. Daub, Michiel J. L. de Hoon, Erik Arner, Yoshihide Hayashizaki, Piero Carninci & Alistair R. R. Forrest"",""Nature volume 543, pages 199?204 (09 March 2017)"",28241135,201702237954137081
""An integrated expression atlas of miRNAs and their promoters in human and mouse"",""Derek de Rie, Imad Abugessaisa, Tanvir Alam, Erik Arner, Peter Arner, Haitham Ashoor, Gaby ?str?m, Magda Babina, Nicolas Bertin, A Maxwell Burroughs, Ailsa J Carlisle, Carsten O Daub, Michael Detmar, Ruslan Deviatiiarov, Alexandre Fort, Claudia Gebhard, Daniel Goldowitz, Sven Guhl, Thomas J Ha, Jayson Harshbarger, Akira Hasegawa, Kosuke Hashimoto, Meenhard Herlyn, Peter Heutink, Kelly J Hitchens, Chung Chau Hon, Edward Huang, Yuri Ishizu, Chieko Kai, Takeya Kasukawa, Peter Klinken, Timo Lassmann, Charles-Henri Lecellier, Weonju Lee, Marina Lizio, Vsevolod Makeev, Anthony Mathelier, Yulia A Medvedeva, Niklas Mejhert, Christopher J Mungall, Shohei Noma, Mitsuhiro Ohshima, Mariko Okada-Hatakeyama, Helena Persson, Patrizia Rizzu, Filip Roudnicky, P?l S?trom, Hiroki Sato, Jessica Severin, Jay W Shin, Rolf K Swoboda, Hiroshi Tarui, Hiroo Toyoda, Kristoffer Vitting-Seerup, Louise Winteringham, Yoko Yamaguchi, Kayoko Yasuzawa, Misako Yoneda, Noriko Yumoto, Susan Zabierowski, Peter G Zhang, Christine A Wells, Kim M Summers, Hideya Kawaji, Albin Sandelin, Michael Rehli, The FANTOM Consortium, Yoshihide Hayashizaki, Piero Carninci, Alistair R R Forrest & Michiel J L de Hoon"",""Nature Biotechnology volume 35, pages 872?878 (2017)"",28829439,201702267263543800
","RIKEN Center for Integrative Medical Sciences","http://fantom.gsc.riken.jp/5/
",2014-03-27,2019-03-12,,http://fantom.gsc.riken.jp/5/datafiles/,,,1,,,
"First Author's",,"NBDC01090
",,"""Keisuke Iida"",""Database Center for Life Science"",,,,,1
",,"Literature
",,,"Open access and online review articles written by Japanese authors who published their research outcomes in some top journals such as Science and Nature.",,,"MEXT Integrated Database Project
Life Science Database Integration Project ""Development of fundamental technologies related to integration of databases""","バイオインフォマティクスを使い尽くす秘訣教えます！【第3回】「DBCLSが提供する日本語コンテンツ」,飯田啓介、小野浩雅,""生物工学会誌 第95巻 第1号(2017/1/25)"",0,
新しい日本語Webコンテンツ，「新着論文レビュー」と「領域融合レビュー」,飯田啓介,""情報管理, 56, 148-155 (2013)"",0,
","Database Center for Life Science","http://first.lifesciencedb.jp/
",2010-09-01,,http://dbcls.rois.ac.jp/,,,1,1,,,
